Name,URL,City,Type
Produto.io,https://www.meetup.com/pt-BR/produto-io-sp/members/,Sao Paulo,Product
Developers RJ,http://t.me/developersRJ,Rio,Networking and Jobs
React Rio,https://t.me/reactrio,Rio,Networking and Jobs
VueJS Rio,t.me/vuejsrio,Rio,Networking and Jobs
Ruby on Rio,https://t.me/joinchat/BHHBuj9mw2_r7L3qKdxnCA,Rio,Networking and Jobs
Rio.css,http://bit.ly/cssrj,Rio,Networking and Jobs
RioJS,http://t.me/RioJS,Rio,Networking and Jobs
Israel Ruby Underground,https://www.meetup.com/IsraelRubyUnderground/,Israel,Dev
Fintech Aviv,https://www.meetup.com/FinTech-Aviv/,Israel,Networking
Fiverr Meetups,https://www.meetup.com/Fiverr-Meetups/,Israel,Product
8200 EISP,https://www.meetup.com/8200-EISP/,Israel,Networking
Beta-i, https://www.meetup.com/Beta-i/, Lisbon, Entrepreneur
